StarID	HIP	HD	HR	Gliese	BayerFlamsteed	ProperName	RA	Dec	Distance	PMRA	PMDec	RV	Mag	AbsMag	Spectrum	ColorIndex	X	Y	Z	VX	VY	VZ
15471	15510	20794	1008	Gl 139		82 G. Eri	3,33145134	-43,07154929	6,0598715307	3038,08	726,34	86,7	4,26	5,3476829139	G8V	0,711	2,84712	3,38968	-4,13835	-0,000017307	0,000118158	-0,000044966
98925	99240	190248	7665	Gl 780	Del Pav		20,14496114	-66,17932101	6,1076161974	1210,29	-1130,34	-21,7	3,55	4,6206413091	G5IV-Vvar	0,751	1,31352	-2,0879	-5,58733	0,000009255	0,000052582	0,000006786
71028	71253			Gl 555			14,57139547	-12,52100145	6,115833894	-357,5	595,12	9	11,32	12,3877215927	M4	1,633	-4,66786	-3,72242	-1,32589	-0,000016624	0,000000299	0,000015228
118345	0			NN 3323			5,0329775108	-6,9374234236	6,1349693252	-539,7	-549,202		12,1	13,160938022	m		1,52537	5,89592	-0,74101	0,000015045	-0,00000593	-0,000016214
119185	0			GJ 1221			17,8053409582	70,8599369757	6,1425061425	-1245,27	1082,497		14,15	15,2082720028	DXP9	0,4	-0,10259	-2,01138	5,80294	-0,000035481	0,000032301	0,000010568
118489	0			NN 3454			7,6067746531	7,084313918	6,1728395062	200,751	-286,703		13,22	14,2675750727	m		-2,50147	5,59169	0,76129	-0,000005915	-0,000001487	-0,000008513
86694	86961						17,77018422	-32,10277328	6,1816158744	-49,82	-319,82		10,49	11,5344899275	M2V:	1,463	-0,31486	-5,22694	-3,28515	-0,000001183	0,000005173	-0,000008118
86696	86963						17,77068549	-32,10165681	6,1816158744	-77,62	-270,12		11,39	12,4344899275	M2V:	1,439	-0,31418	-5,22705	-3,28505	-0,000002063	0,000004433	-0,000006856
45211	45343	79210		Gl 338  A			9,24007481	52,6879927	6,1885017637	-1533,58	-562,8	13,7	7,64	8,6820724047	M0V	1,41	-2,81385	2,48065	4,922	0,00001398	0,000049008	0,000000909
99383	99701	191849		Gl 784			20,23132013	-45,16363153	6,204628653	778,18	-159,55	-31,1	7,97	9,0064210296	M0V	1,431	2,41268	-3,64934	-4,39984	0,00000528	0,000034454	0,000019171
118996	0			NN 3877			14,9444498182	-28,1538434092	6,2111801242	-481,45	-830,545		17,05	18,0841293802	dM8	1,34	-3,92823	-3,8156	-2,93068	-0,000001636	0,000018619	-0,000022048
118645	0			GJ 1128			9,7149172679	-68,9010483826	6,2111801242	-62,52	1118,253	-21	12,78	13,8141293802	m	1,73	-1,84759	1,25922	-5,79478	-0,000018509	0,000014892	0,000032158
119569	0			Gl 896  B			23,5306848175	19,9375532605	6,2476571286	559,753	-16,613	-1,2	12,4	13,4214140628	dM6  e	1,65	5,82892	-0,7198	2,13042	0,000001103	0,000016945	-0,000000891
